accel,gyro,miclevel,Label
"0.5095406770706177,0.8471368551254272,-0.05207324028015137","-0.4652242958545685,-0.006891578435897827,3.795042037963867","-12.218659400939941,-25.922069549560547",Walking
"0.15175247192382812,1.0663340091705322,-0.002692699432373047","-0.22174639999866486,-0.4632854759693146,4.905888080596924","-12.218659400939941,-26.3527774810791",Walking
"-0.30062466859817505,1.1262059211730957,-0.001895904541015625","0.014274658635258675,-0.808044970035553,5.494296550750732","-12.218659400939941,-28.224163055419922",Walking
"-0.4656957983970642,0.9765482544898987,-0.01690363883972168","0.044664520770311356,-0.8323239684104919,5.534464359283447","-12.218659400939941,-28.773767471313477",Walking
"-0.7488583922386169,0.658375084400177,-0.020283937454223633","-0.4258926212787628,-0.11278259009122849,4.555175304412842","-12.218659400939941,-29.615461349487305",Walking
"-0.8209821581840515,0.41266584396362305,-0.052306175231933594","-0.9468729496002197,1.4592041969299316,3.3297557830810547","-12.218659400939941,-19.889402389526367",Walking
"-0.789542019367218,0.32479774951934814,-0.06413626670837402","-1.0585530996322632,2.101700782775879,2.8747100830078125","-12.218659400939941,-19.891935348510742",Walking
"-0.7004733681678772,0.22691571712493896,-0.06965970993041992","-1.324412226676941,2.794762372970581,2.2973058223724365","-12.218659400939941,-17.85500717163086",Walking
"-0.6757108569145203,0.17101895809173584,-0.11233508586883545","-1.3539488315582275,2.701491355895996,2.191713571548462","-12.218659400939941,-18.45646095275879",Walking
"-0.6829582452774048,0.11410921812057495,-0.15018808841705322","-1.2954062223434448,2.322317600250244,2.1888363361358643","-12.218659400939941,-19.613039016723633",Walking
"-0.7016685009002686,-0.11326730251312256,-0.25118279457092285","-0.9985367059707642,1.2706300020217896,2.1461470127105713","-12.218659400939941,-20.314516067504883",Walking
"-0.7287712097167969,-0.36803460121154785,-0.33094656467437744","-0.3209978938102722,0.27363038063049316,1.9270806312561035","-12.218659400939941,-21.279272079467773",Walking
"-0.7587629556655884,-0.44652366638183594,-0.32977235317230225","0.14187468588352203,-0.13297894597053528,1.7327252626419067","-12.218659400939941,-23.48029899597168",Walking
"-0.8205685615539551,-0.4791547656059265,-0.268274188041687","0.9459570646286011,-0.6493759751319885,1.2749204635620117","-12.218659400939941,-24.548076629638672",Walking
"-0.835494875907898,-0.4868115782737732,-0.18829047679901123","1.0940937995910645,-0.6523720622062683,0.8475245833396912","-12.218659400939941,-26.719484329223633",Walking
"-0.8544360995292664,-0.469169020652771,-0.17567121982574463","0.9397884011268616,-0.7166857719421387,0.5784845948219299","-12.218659400939941,-27.764554977416992",Walking
"-0.9284694790840149,-0.35760772228240967,-0.17765569686889648","0.6465972661972046,-1.1383568048477173,-0.1560939997434616","-12.218659400939941,-29.718700408935547",Walking
"-0.9304477572441101,-0.2675933241844177,-0.18116021156311035","0.7303810715675354,-1.7138701677322388,-1.0421297550201416","-12.218659400939941,-30.00627326965332",Walking
"-0.8992619514465332,-0.21701979637145996,-0.15040266513824463","0.7799428105354309,-1.8810811042785645,-1.5307655334472656","-12.218659400939941,-24.98442840576172",Walking
"-0.8052019476890564,-0.05659639835357666,-0.10883480310440063","0.5021511316299438,-1.9008581638336182,-2.3534319400787354","-12.218659400939941,-24.246841430664062",Walking
"-0.727783739566803,0.19738370180130005,-0.14335310459136963","0.21282054483890533,-1.9580857753753662,-3.0424160957336426","-12.775938034057617,-24.47614860534668",Walking
"-0.6780178546905518,0.34180039167404175,-0.16968244314193726","0.1566864401102066,-2.0996835231781006,-3.3831887245178223","-13.890496253967285,-15.078322410583496",Walking
"-0.5036823153495789,0.47723889350891113,-0.21325761079788208","0.20831261575222015,-2.2067341804504395,-3.7888541221618652","-14.447774887084961,-15.614358901977539",Walking
"-0.3555704355239868,0.6246854662895203,-0.2241973876953125","0.1907498687505722,-1.9042073488235474,-4.267895221710205","-15.562333106994629,-16.219131469726562",Walking
"-0.2850649356842041,0.7719789743423462,-0.21350336074829102","0.10470259934663773,-1.6761667728424072,-4.591402530670166","-16.119611740112305,-16.57663917541504",Walking
"-0.05608224868774414,0.9878140687942505,-0.22187447547912598","0.04986012354493141,-1.1343584060668945,-4.46563720703125","-17.234169006347656,-17.83675765991211",Walking
"0.05278515815734863,0.9167833924293518,-0.22994756698608398","0.3440278470516205,-0.6184332370758057,-3.645137310028076","-17.79144859313965,-18.694988250732422",Walking
"0.05057114362716675,0.8093805313110352,-0.1694704294204712","0.481028288602829,0.004789574071764946,-3.5608930587768555","-18.34872817993164,-19.600229263305664",Walking
"0.16944187879562378,0.8364133834838867,-0.07597863674163818","0.38997215032577515,0.5522161722183228,-3.893127679824829","-19.463285446166992,-21.353487014770508",Walking
"0.2863900065422058,0.856325626373291,-0.059294939041137695","0.3545153737068176,0.5422016382217407,-3.8038136959075928","-20.020565032958984,-22.384288787841797",Walking
"0.49409908056259155,0.7979751825332642,-0.037145018577575684","0.18074864149093628,0.24943660199642181,-3.0145626068115234","-21.135122299194336,-21.135122299194336",Walking
"0.6278683543205261,0.6464990377426147,-0.06198763847351074","0.04532502591609955,0.06356181204319,-1.9871598482131958","-21.436504364013672,-22.067197799682617",Walking
"0.6572464108467102,0.5890370011329651,-0.07882106304168701","0.07279260456562042,0.09803696721792221,-1.5883525609970093","-17.199756622314453,-23.37660789489746",Walking
"0.7256718873977661,0.5252946615219116,-0.07319068908691406","0.24717506766319275,0.2761949598789215,-0.998121440410614","-16.17220115661621,-18.14156150817871",Walking
"0.8107532858848572,0.5125826597213745,-0.005666017532348633","0.2757622301578522,0.4744817018508911,-0.29478809237480164","-16.17220115661621,-18.43185806274414",Walking
"0.8375810384750366,0.5260415077209473,0.04755854606628418","0.13099466264247894,0.5764514803886414,0.12555141746997833","-16.17220115661621,-20.227144241333008",Walking
"0.8318271040916443,0.546192467212677,0.07581597566604614","-0.3192444145679474,0.49310144782066345,1.2875322103500366","-16.17220115661621,-20.538490295410156",Walking
"0.6881176233291626,0.5743559002876282,0.018845021724700928","-0.6229348182678223,-0.08323215693235397,2.487224578857422","-16.17220115661621,-22.59476661682129",Walking
"0.5660279989242554,0.5974791049957275,-0.01950937509536743","-0.5871357917785645,-0.37836742401123047,2.9611427783966064","-16.17220115661621,-23.20074462890625",Walking
"0.3011036515235901,0.6332354545593262,-0.06159704923629761","-0.46878382563591003,-0.5742332935333252,3.4933104515075684","-16.17220115661621,-24.94717025756836",Walking
"0.0887402892112732,0.7023865580558777,-0.05655181407928467","-0.5490618944168091,-0.12358810007572174,3.6759777069091797","-16.17220115661621,-25.656658172607422",Walking
"0.0054770708084106445,0.7341956496238708,-0.04932546615600586","-0.6389929056167603,0.17052128911018372,3.854254961013794","-16.17220115661621,-26.75926399230957",Walking
"-0.2185659408569336,0.7377061247825623,-0.04458820819854736","-0.7944021821022034,0.524917721748352,4.283351898193359","-16.17220115661621,-27.46364402770996",Walking
"-0.46977001428604126,0.6216953992843628,-0.0632026195526123","-0.7265552282333374,0.6607964634895325,4.400974273681641","-16.17220115661621,-28.04944610595703",Walking
"-0.5704148411750793,0.5293021202087402,-0.07080602645874023","-0.619597315788269,0.7320168614387512,4.243900775909424","-16.17220115661621,-29.09402847290039",Walking
"-0.6658869981765747,0.3242223858833313,-0.08145952224731445","-0.3722594380378723,0.9313874840736389,3.685114622116089","-16.17220115661621,-29.72983169555664",Walking
"-0.7111083269119263,0.18359166383743286,-0.0672193169593811","-0.18935565650463104,1.1045781373977661,2.848745584487915","-16.17220115661621,-29.53812599182129",Walking
"-0.7045209407806396,0.11335444450378418,-0.04495358467102051","-0.21814894676208496,1.2188501358032227,2.3997132778167725","-16.17220115661621,-30.420570373535156",Walking
"-0.6424722671508789,-0.07461750507354736,-0.030208349227905273","-0.6229295134544373,1.5548681020736694,1.7350999116897583","-16.17220115661621,-32.06809616088867",Walking
"-0.6147019267082214,-0.19072270393371582,-0.07113587856292725","-0.9940966367721558,1.8255400657653809,1.182596206665039","-16.17220115661621,-32.95771408081055",Walking
"-0.5938809514045715,-0.2571571469306946,-0.10746169090270996","-1.026731014251709,1.7919559478759766,0.920506477355957","-16.17220115661621,-33.83296585083008",Walking
